Transaction Month and Year,Make,Model,Model Year,Vehicle Color,Vehicle Type,Vehicle Primary Use,Fuel Type Primary,Fuel Type Secondary,Gross Vehicle Weight Rating Class,Gross Vehicle Weight Rating Range (lbs),Electrification Level,Plate Background,Plate Configuration,Owner Type,County,State,Postal Code,Transaction Type,Transaction Channel,2020 GEOID,Transaction Count
2024-07-01,BMW,328I,2016,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98020,Registration Renewal,Online,53061050501,1
2023-10-01,ACURA,MDX,2014,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),University of Washington,Personalized,Individual Owner,Pierce,WA,98407,Registration Renewal,Online,53053060800,1
2023-12-01,CHEVROLET,SUBURBAN,1995,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98366,Registration at time of Transfer,In-person,53035092600,1
2024-06-01,SUBARU,WRX,2023,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99208,Registration Renewal,In-person,53063010507,1
2024-07-01,NISSAN,FRONTIER,2012,"BLUE,LIGHT",TRUCK,Truck,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98126,Registration Renewal,Mail-in,53033011500,1
2024-04-01,ACURA,TL,2006,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98056,Registration Renewal,Online,53033025601,1
2024-04-01,NISSAN,ALTIMA,2005,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98367,Registration Renewal,In-person,53035092901,1
2023-11-01,HARLEY DAVIDSON,ELECTRA GLIDE CLASSIC 100TH ANNIVERSARY / ELECTRA GLIDE CLASSIC,2003,BLACK,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Island,WA,98277,Registration Renewal,Online,53029970500,1
2023-12-01,TOYOTA,TACOMA,2019,GRAY,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98311,Registration Renewal,Online,53035091800,1
2024-01-01,MITSUBISHI,OUTLANDER SPORT,2021,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99205,Registration at time of Transfer,In-person,53063000900,1
2024-07-01,KIA,SOUL,2014,YELLOW,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98312,Registration Renewal,Online,53035080600,1
2024-08-01,NISSAN,ROGUE,2014,RED,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98662,Registration Renewal,Online,53011041104,1
2023-12-01,DODGE,RAM,1997,TURQUOISE,TRUCK,Truck,Diesel,,2G,"8,001 - 9,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Lewis,WA,98591,Registration Renewal,In-person,53041971700,1
2024-06-01,TOYOTA,COROLLA,2015,BLACK,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98311,Registration Renewal,In-person,53035091702,1
2024-02-01,TOYOTA,4-RUNNER,2016,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98059,Registration Renewal,Online,53033025005,1
2023-11-01,FORD,BRONCO SPORT,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Other,Standard,Individual Owner,King,WA,98002,Original Registration,In-person,53033030700,1
2024-02-01,DODGE,RAM,2004,BLACK,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98203,Registration Renewal,In-person,53061041601,1
2023-09-01,ACURA,RDX,2014,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Endangered Wildlife Orca,Standard,Individual Owner,Whatcom,WA,98225,Registration Renewal,In-person,53073001102,1
2023-10-01,CHRYSLER,300,2018,ALUMINUM / SILVER,PASSENGER CAR,Passenger Vehicle,Flexible Fuel Vehicle (FFV),,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98366,Registration Renewal,In-person,53035092300,1
2024-02-01,CADILLAC,ATS,2016,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98374,Registration at time of Transfer,In-person,53053071207,1
2023-10-01,CHEVROLET,SILVERADO,2004,,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grant,WA,98851,Registration Renewal,Online,53025010300,1
2024-08-01,FORD,ESCAPE,2011,GOLD,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98092,Registration Renewal,Online,53033031208,1
2023-10-01,CHRYSLER,CROSSFIRE,2004,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kittitas,WA,98926,Registration at time of Transfer,In-person,53037975203,1
2024-03-01,TOYOTA,RAV4,2021,RED,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Electric,1C,"4,001 - 5,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,King,WA,98177,Registration at time of Transfer,In-person,53033020800,1
2024-06-01,TOYOTA,HIGHLANDER,2023,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98034,Registration Renewal,In-person,53033021904,1
2024-07-01,MITSUBISHI,ECLIPSE CROSS,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Lewis,WA,98531,Registration Renewal,In-person,53041970400,1
2024-06-01,CHEVROLET,EQUINOX,2018,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Diesel,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pacific,WA,98577,Registration Renewal,Online,53049950200,1
2023-09-01,TOYOTA,4-RUNNER,2018,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98422,Registration Renewal,In-person,53053940001,1
2024-06-01,TOYOTA,TACOMA,2014,ALUMINUM / SILVER,TRUCK,Truck,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98038,Registration Renewal,Online,53033032003,1
2024-04-01,MERCEDES-BENZ,GLK-CLASS,2012,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98033,Registration Renewal,Online,53033022402,1
2024-01-01,FORD,ESCAPE,2010,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98031,Registration Renewal,In-person,53033029405,1
2024-04-01,LAND ROVER,RANGE ROVER SPORT,2011,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98901,Registration Renewal,In-person,53077000200,1
2024-08-01,FORD,F-150,2011,BLUE,TRUCK,Truck,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99208,Registration at time of Transfer,In-person,53063010603,1
2023-12-01,VOLKSWAGEN,ID.4,2023,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Electric,,1D,"5,001 - 6,000",BEV (Battery Electric Vehicle),Standard Plate,Standard,Individual Owner,Yakima,WA,98902,Original Registration,In-person,53077001000,1
2023-09-01,SUBARU,CROSSTREK,2021,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98110,Registration Renewal,Online,53035090901,1
2023-12-01,JEEP,GRAND CHEROKEE,2002,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98901,Registration at time of Transfer,In-person,53077001502,1
2024-01-01,VOLKSWAGEN,JETTA,2004,,PASSENGER CAR,Passenger Vehicle,Diesel,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Lewis,WA,98532,Registration Renewal,In-person,53041971502,1
2024-07-01,CHEVROLET,S-10 PICKUP,2000,,TRUCK,Truck,Gasoline,Ethanol (E85),1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Douglas,WA,98802,Registration at time of Transfer,In-person,53017950300,1
2024-06-01,GMC,SIERRA,2019,,TRUCK,Truck,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98375,Registration at time of Transfer,In-person,53053073132,1
2023-09-01,LINCOLN,MKX,2018,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whatcom,WA,98230,Registration Renewal,In-person,53073010407,1
2024-05-01,SUBARU,OUTBACK,2016,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98383,Registration Renewal,Online,53035090400,1
2023-11-01,LEXUS,GS,2011,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98466,Registration Renewal,In-person,53053072310,1
2024-07-01,CADILLAC,ESCALADE,2022,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Business Owner,Spokane,WA,99016,Registration Renewal,Online,53063013102,1
2024-03-01,FORD,F-150,2000,BLACK,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98902,Registration Renewal,In-person,53077001000,1
2024-08-01,ACURA,MDX,2011,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98056,Registration at time of Transfer,In-person,53033025304,1
2024-04-01,VOLKSWAGEN,TIGUAN,2016,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Benton,WA,99337,Registration Renewal,Online,53005011506,1
2023-11-01,LEXUS,IS,2007,"BLUE,DARK",PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98119,Registration Renewal,Online,53033007001,1
2024-07-01,SUBARU,FORESTER,2015,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98366,Registration Renewal,Online,53035092300,1
2024-03-01,SUZUKI,DR650SE,2009,BLACK,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Cowlitz,WA,98632,Registration Renewal,Online,53015000400,1
2024-05-01,TOYOTA,YARIS,2007,GRAY,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Skagit,WA,98221,Registration Renewal,Online,53057940700,1
2023-11-01,HONDA,CR-V,2015,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Whitman,WA,99163,Registration Renewal,In-person,53075000201,1
2024-02-01,HYUNDAI,SANTA FE,2023,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Electric,1D,"5,001 - 6,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,Thurston,WA,98516,Original Registration,In-person,53067012226,1
2024-01-01,GMC,SIERRA,2021,WHITE,TRUCK,Truck,Diesel,,2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98682,Registration Renewal,Online,53011040604,1
2024-05-01,VOLKSWAGEN,TIGUAN,2010,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98026,Registration Renewal,In-person,53061050300,1
2023-12-01,AUDI,Q3,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98012,Registration Renewal,In-person,53061052107,1
2024-03-01,TOYOTA,TACOMA,2015,,TRUCK,Truck,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98252,Registration Renewal,In-person,53061053605,1
2024-08-01,KIA,SOUL,2015,BROWN,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98146,Registration Renewal,Online,53033026801,1
2024-08-01,TOYOTA,SIENNA,2024,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Hybrid,Electric,2E,"6,001 - 7,000",HEV (Hybrid Electric Vehicle) - Level Unknown,Standard Plate,Standard,Individual Owner,King,WA,98042,Original Registration,In-person,53033031708,1
2023-11-01,SUBARU,OUTBACK,2016,GRAY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Seattle Seahawks,Standard,Individual Owner,King,WA,98065,Registration Renewal,Online,53033032703,1
2023-11-01,BMW,X6,2015,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98371,Registration Renewal,Online,53053071205,1
2024-04-01,CHEVROLET,SILVERADO,2011,WHITE,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98258,Registration Renewal,Mail-in,53061052504,1
2023-12-01,HONDA,CIVIC,2010,BLUE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Chelan,WA,98815,Registration Renewal,In-person,53007960502,1
2024-01-01,NISSAN,PATHFINDER,2006,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Thurston,WA,98506,Registration Renewal,In-person,53067010200,1
2024-04-01,MERCEDES-BENZ,C-CLASS,2002,RED,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98203,Registration at time of Transfer,In-person,53061041400,1
2024-07-01,CHEVROLET,SILVERADO,2006,WHITE,TRUCK,Truck,Gasoline,,2H,"9,001 - 10,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Skagit,WA,98284,Registration Renewal,In-person,53057951600,1
2024-03-01,HYUNDAI,KONA,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clark,WA,98607,Registration Renewal,Online,53011040608,1
2024-06-01,CHEVROLET,SILVERADO,2014,,TRUCK,Truck,Gasoline,Ethanol (E85),2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Cowlitz,WA,98626,Registration Renewal,In-person,53015001100,1
2023-12-01,SUBARU,IMPREZA,2016,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98056,Registration Renewal,In-person,53033025302,1
2023-11-01,MAZDA,CX-5,2020,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98223,Registration Renewal,Online,53061053510,1
2024-08-01,TOYOTA,PICK-UP,1991,WHITE,TRUCK,Truck,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98312,Registration Renewal,Online,53035080700,1
2024-02-01,NISSAN,ROGUE,2013,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Clallam,WA,98382,Registration Renewal,Online,53009001901,1
2024-07-01,CHEVROLET,SILVERADO,2014,BLACK,TRUCK,Truck,Gasoline,Ethanol (E85),2F,"7,001 - 8,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Benton,WA,99336,Registration Renewal,In-person,53005011202,1
2023-09-01,FORD,PU,1977,ORANGE,TRUCK,Truck,Gasoline,,,,ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Chelan,WA,98815,Registration at time of Transfer,In-person,53007960600,1
2024-06-01,SUBARU,FORESTER,2018,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Seattle Seahawks,Standard,Individual Owner,Snohomish,WA,98201,Registration Renewal,Online,53061040100,1
2024-04-01,SUBARU,FORESTER,2018,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99216,Registration Renewal,In-person,53063012901,1
2024-02-01,HARLEY DAVIDSON,FLHTC ULTRA,1994,RED,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,San Juan,WA,98250,Registration Renewal,In-person,53055960302,1
2024-02-01,VOLKSWAGEN,ATLAS,2022,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98335,Original Registration,In-person,53053072507,1
2024-03-01,MAZDA,MAZDA5,2013,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98115,Registration Renewal,Online,53033004301,1
2024-04-01,SUBARU,FORESTER,2003,RED,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98258,Registration Renewal,In-person,53061052607,1
2024-04-01,MERCEDES-BENZ,ML-CLASS,2015,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98075,Registration Renewal,Mail-in,53033032215,1
2023-09-01,DODGE,GRAND CARAVAN,2002,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98087,Registration Renewal,Online,53061041816,1
2024-08-01,JEEP,LIBERTY,2007,RED,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,King,WA,98117,Registration Renewal,Online,53033003100,1
2024-01-01,LINCOLN,TOWN CAR,1984,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Grays Harbor,WA,98557,Registration Renewal,In-person,53027000600,1
2024-08-01,TOYOTA,COROLLA,2017,"BLUE,DARK",PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98349,Registration at time of Transfer,In-person,53053072603,1
2023-09-01,TOYOTA,RAV4,2001,ALUMINUM / SILVER,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1B,"3,001 - 4,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98258,Registration Renewal,Online,53061052606,1
2024-04-01,JEEP,WRANGLER,2013,RED,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Unknown or Out of State,WA,98683,Registration Renewal,In-person,53011041322,1
2023-12-01,SUBARU,CROSSTREK,2017,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98026,Registration Renewal,Online,53061050800,1
2023-09-01,LINCOLN,MKX,2012,BLACK,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98444,Registration Renewal,In-person,53053071503,1
2023-11-01,GMC,SIERRA,2007,WHITE,TRUCK,Truck,Gasoline,,2E,"6,001 - 7,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Kitsap,WA,98110,Registration Renewal,Online,53035090700,1
2024-04-01,HARLEY DAVIDSON,FXR,1986,ORANGE,MOTORCYCLE,Motorcycle,Gasoline,,1A,"3,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Okanogan,WA,98849,Registration at time of Transfer,In-person,53047970500,1
2023-09-01,TOYOTA,CAMRY,2010,WHITE,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98087,Registration Renewal,In-person,53061051803,1
2024-04-01,SUBARU,FORESTER,2017,WHITE,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Cowlitz,WA,98632,Registration Renewal,In-person,53015000902,1
2023-11-01,BMW,335IS,2012,,PASSENGER CAR,Passenger Vehicle,Gasoline,,,,ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Yakima,WA,98944,Registration Renewal,Online,53077002003,1
2023-11-01,TOYOTA,HIGHLANDER,2011,MAROON / BURGUNDY,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99223,Registration Renewal,Online,53063004800,1
2024-04-01,TOYOTA,HIGHLANDER,2020,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Chelan,WA,98801,Registration at time of Transfer,In-person,53007961304,1
2023-10-01,CADILLAC,SRX,2013,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,Ethanol (E85),1D,"5,001 - 6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Pierce,WA,98387,Registration Renewal,Online,53053071411,1
2024-05-01,FORD,ESCAPE,2019,,MULTIPURPOSE PASSENGER VEHICLE (MPV),Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98208,Registration Renewal,Mail-in,53061041808,1
2024-02-01,ACURA,TL,2005,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1C,"4,001 - 5,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Skagit,WA,98273,Registration Renewal,Online,53057952301,1
2023-09-01,LEXUS,LS,2001,GOLD,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Spokane,WA,99026,Registration Renewal,Mail-in,53063010601,1
2023-09-01,SUBARU,BRZ,2015,,PASSENGER CAR,Passenger Vehicle,Gasoline,,1,"6,000",ICE (Internal Combustion Engine),Standard Plate,Standard,Individual Owner,Snohomish,WA,98087,Registration Renewal,Online,53061041816,1
